texte_historique,domaine,impact,urgence,statut_friction_final,question_bot
Je me suis coupé mais c'est profond.,MÉDICAL,2,2,MANQUE_ZONE_CORPS,Sur quelle partie du corps avez-vous cette coupure ?
"Un hangar brûle à côté de chez moi. Je chuchote, je suis caché.",POMPIER,3,3,MANQUE_PERSONNES_PIEGES,Y avait-il des personnes dans ce bâtiment ? Voyez-vous des sorties de secours ou des blessés ?
"Base de données Oracle corrompue après migration, erreur ORA-00600. 60 utilisateurs bloqués, backup du 2 mai disponible. Datacenter Nice, salle B. J'ai du mal à parler.",INFRA,4,4,COMPLET,
Quelqu'un a l'air de ne pas se sentir bien dans le métro. La connexion est mauvaise.,MÉDICAL,2,2,MANQUE_ZONE_CORPS,Qu'est-ce que vous observez sur cette personne ? Parle-t-elle ? Tient-elle debout ?
"Un appartement brûle, les flammes sortent par la fenêtre. La connexion est mauvaise.",POMPIER,4,4,MANQUE_PROPAGATION,Les flammes atteignent-elles les appartements voisins ou le toit ?
"Mon voisin a chuté de son escabeau, il crie de douleur. Je tremble en appelant.",MÉDICAL,3,3,MANQUE_SYMPTOMES,Voyez-vous une déformation d'un membre ? A-t-il reçu le choc à la tête ? Peut-il bouger ?
"Mon père souffre énormément au ventre, fièvre 39, 67 ans, diabétique. Je chuchote, je suis caché.",MÉDICAL,3,3,MANQUE_LIEU,Quelle est l'adresse de votre père pour que les secours puissent venir ?
"Serveur principal HS, erreur RAID critique, toute la compta bloquée, 45 utilisateurs, dernière sauvegarde hier 23h.",INFRA,4,4,MANQUE_LIEU,Sur quel site ou datacenter ce serveur est-il hébergé ? L'équipe on-site peut-elle intervenir ?
"Bonjour, un appartement brûle au 3ème étage, alarme déclenchée. Je tremble en appelant.",POMPIER,4,4,MANQUE_EVACUATION,"L'immeuble a-t-il été évacué ? Les résidents ont-ils pu sortir, ou des gens restent-ils bloqués ?"
"Incendie de cuisine maîtrisé partiellement, fumée dense, tout le monde évacué, pas de blessé. J'ai du mal à parler.",POMPIER,3,3,MANQUE_LIEU,À quelle adresse se trouve le logement sinistré ?
"Mon père, 67 ans diabétique, est inconscient sur le canapé. Il respire mais ne répond pas. Il prend de la metformine. Nous sommes à son domicile, 5 allée des Marronniers, Lyon.",MÉDICAL,4,4,COMPLET,
"Mon voisin a chuté de son escabeau, il crie de douleur. Il y a beaucoup de bruit de fond.",MÉDICAL,3,3,MANQUE_SYMPTOMES,Voyez-vous une déformation d'un membre ? A-t-il reçu le choc à la tête ? Peut-il bouger ?
"Mon copain a fait une crise, il convulse, une douleur à la poitrine. La connexion est mauvaise.",MÉDICAL,4,4,MANQUE_ANTECEDENTS,Quel est l'âge de votre copain ? Est-il épileptique ou a-t-il des antécédents cardiaques ?
"Serveur de base de données SQL Server HS depuis 8h. Erreur EVENT ID 17 dans les logs. 80 utilisateurs bloqués, toute la production arrêtée. Dernière sauvegarde hier 22h. Datacenter de Massy, salle B. Mon téléphone est presque déchargé.",INFRA,4,4,COMPLET,
Mon conjoint vient de me frapper et a quitté l'appartement.,POLICE,3,3,MANQUE_STATUT_VICTIME,Êtes-vous blessé(e) ? Avez-vous besoin d'une ambulance en plus de la police ?
"Mon collègue douleur poitrine, transpire, bras gauche engourdi.",MÉDICAL,4,4,MANQUE_ANTECEDENTS,Quel est l'âge de votre collègue ? A-t-il des antécédents cardiaques ou prend-il des médicaments ?
"Mon collègue douleur thoracique irradiante, 52 ans, hypertendu. Je tremble en appelant.",MÉDICAL,4,4,MANQUE_LIEU,J'envoie le SAMU. Donnez-moi l'adresse ou le nom du bâtiment où vous êtes.
"Accident de voiture sur l'A7 km 245 direction Marseille. Deux véhicules dont un en feu. Conducteur piégé dans le premier véhicule. Pas de produits dangereux. Trois blessés debout. Je chuchote, je suis caché.",POMPIER,4,4,COMPLET,
Le réseau ne marche plus.,INFRA,3,3,MANQUE_TYPE_PANNE,Est-ce toute la connectivité réseau ou seulement certains services ? Depuis quand et quelle est l'étendue ?
J'ai chuté et j'ai vraiment mal.,MÉDICAL,2,2,MANQUE_ZONE_CORPS,Où vous êtes-vous blessé lors de la chute ?
"Ma mère est inconsciente, elle respire, poitrine et bras gauche douloureux. Il y a beaucoup de bruit de fond.",MÉDICAL,4,4,MANQUE_ANTECEDENTS,"Quel est l'âge de votre mère ? Est-elle cardiaque, diabétique ou sous traitement anticoagulant ?"
"Base de données Oracle corrompue après migration, erreur ORA-00600. 60 utilisateurs bloqués, backup du 2 mai disponible. Datacenter Nice, salle B.",INFRA,4,4,COMPLET,
"Mon copain fait une crise d'épilepsie, il est épileptique, 28 ans, inconscient. Je tremble en appelant.",MÉDICAL,4,4,MANQUE_LIEU,Les secours arrivent. Donnez-moi l'adresse exacte où vous vous trouvez.
Mon mari a chuté et ne bouge plus.,MÉDICAL,4,4,MANQUE_CONSCIENCE,Votre mari répond-il ? Approchez votre oreille de sa bouche : respirez-vous son souffle ?
Mon voisin menace tout le monde dans le couloir. Mon téléphone est presque déchargé.,POLICE,3,4,MANQUE_ARME,Tient-il quelque chose à la main ? Est-il armé à votre connaissance ?
Quelqu'un demande à entrer sans badge et prétend travailler ici. J'ai du mal à parler.,ACCÈS,3,3,MANQUE_IDENTITE_DEMANDEUR,"Quel nom et service donne-t-il ? Ne l'autorisez pas à entrer, je vais vérifier son identité dans le système."
Ma voisine a l'air de faire un malaise sur le palier.,MÉDICAL,3,3,MANQUE_ZONE_CORPS,"Qu'est-ce que vous observez chez elle : est-elle consciente, tient-elle debout ?"
"Il y a une agression en cours dans ma rue, j'entends des cris. Je suis essoufflé.",POLICE,3,4,MANQUE_STATUT_VICTIME,Y a-t-il des blessés ? La victime est-elle encore en danger immédiat ou a-t-elle pu fuir ?
J'ai mal à la tête depuis ce matin. Il y a beaucoup de bruit de fond.,MÉDICAL,2,2,MANQUE_SYMPTOMES,"Avez-vous des vertiges, des nausées ou des troubles de la vision ?"
"Notre ERP principal est HS, erreur 503 Service Unavailable. Mon téléphone est presque déchargé.",INFRA,4,4,MANQUE_PERIMETRE_IMPACT,"Quels départements sont bloqués ? La production, la comptabilité, le commercial ?"
"Ma femme a chuté dans l'escalier. Elle a mal à la cheville, gonflement visible. 38 ans, pas d'antécédent. Nous sommes chez nous au 12 rue Gambetta, Bordeaux.",MÉDICAL,2,2,COMPLET,
"Incendie dans l'école primaire, alarme déclenchée.",POMPIER,4,4,MANQUE_PERSONNES_PIEGES,Les enfants et le personnel ont-ils pu évacuer ? Y a-t-il encore du monde à l'intérieur ?
"Braquage en cours Banque Crédit Mutuel 22 boulevard Gambetta Rennes. Deux hommes cagoulés, armes à feu. Otages à l'intérieur, environ 8 personnes. J'appelle depuis la rue. Je tremble en appelant.",POLICE,4,4,COMPLET,
"Mon fils 3 ans a avalé des produits ménagers, il vomit, pas d'allergie connue. Mon téléphone est presque déchargé.",MÉDICAL,4,4,MANQUE_LIEU,"Donnez-moi votre adresse immédiatement, le SAMU arrive."
