texte,domaine,severite,impact,cible,friction
Moi perdu! Pleuie forte.,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Inondation! Urgent!,RISQUES ENVIRONNEMENTAUX,3,2,0,MANQUE_CONTEXTE
J'arrive! Aide-moi!,RISQUES ENVIRONNEMENTAUX,2,1,0,MANQUE_LIEU
"En route, vite!",RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
"Inondation, aide!",RISQUES ENVIRONNEMENTAUX,3,2,0,MANQUE_CONTEXTE
Réseau down,DIGITAL SUPPORT,4,3,2,COMPLET
Accès réseau bloqué,DIGITAL SUPPORT,3,2,0,MANQUE_LIEU
Serveur hors ligne,DIGITAL SUPPORT,4,4,4,MANQUE_CONTEXTE
VPN ne fonctionne pas,DIGITAL SUPPORT,3,1,0,MANQUE_LIEU
Inaccessible au courriel,DIGITAL SUPPORT,2,3,4,COMPLET
Inondation immédiate près de chez vous !,RISQUES ENVIRONNEMENTAUX,4,2,0,MANQUE_LIEU
Alerte : Flood à l'immeuble voisin !,RISQUES ENVIRONNEMENTAUX,3,2,0,MANQUE_LIEU
Inondation dans mon quartier !,RISQUES ENVIRONNEMENTAUX,4,2,0,MANQUE_LIEU
"Flood en cours, évacuation !",RISQUES ENVIRONNEMENTAUX,4,2,0,MANQUE_LIEU
Alerte inondation à l'hôpital !,RISQUES ENVIRONNEMENTAUX,4,2,0,MANQUE_LIEU
Patient hémorragique. Vite.,MÉDICAL,4,1,0,MANQUE_LIEU
Hémorragie aiguë ! Urgent.,MÉDICAL,3,2,4,MANQUE_CONTEXTE
Patient saigne beaucoup. Besoin aide.,MÉDICAL,4,1,0,MANQUE_LIEU
Hémorragie ! N'importe où ?,MÉDICAL,4,1,0,MANQUE_LIEU
Patient saigne. Urgent !,MÉDICAL,3,2,4,MANQUE_CONTEXTE
Enfant perdu route,POMPIER,4,1,0,MANQUE_LIEU
Nouveau! Enfant seule route!,POMPIER,4,1,0,MANQUE_LIEU
