texte,domaine,priorite
mon ami a le bras arraché vite,MÉDICAL,Haute
je cassé mon bras vite,MÉDICAL,Moyenne
ma souris d'ordinateur est morte,MATÉRIEL,Basse
un voleur me suit dans la rue aidez-moi,POLICE,Moyenne
mon fils a perdu ma jambe!,MÉDICAL,Haute
une centrale nucléaire est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
ma souris ne répond plus,MATÉRIEL,Basse
mon cœur me fait mal,MÉDICAL,Haute
je cassé mon bras.,MÉDICAL,Moyenne
un immeuble menace de s'écrouler vite,POMPIER,Moyenne
le serveur est en panne,INFRA,Haute
j'ai très mal au ventre.,MÉDICAL,Moyenne
une voiture menace de s'écrouler je suis en danger,POMPIER,Moyenne
des gens m'a tiré dessus ma vie est en danger,POLICE,Haute
je saigne,MÉDICAL,Moyenne
la forêt est en train de s'écrouler.,POMPIER,Moyenne
mon cœur me fait mal,MÉDICAL,Haute
mon fils a une grosse hémorragie.,MÉDICAL,Haute
je saigne,MÉDICAL,Moyenne
un inconnu essaie de rentrer de force vite,POLICE,Moyenne
le réseau a une latence énorme,INFRA,Haute
un batiment a été soufflé par une explosion.,POMPIER,Haute
le vpn a été piraté,ACCÈS,Moyenne
la fibre a crashé,INFRA,Haute
le toit est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
il y'a une aggression,POLICE,Haute
mon ex essaie de rentrer de force ma vie est en danger,POLICE,Moyenne
ma femme a cassé mon bras,MÉDICAL,Moyenne
un inconnu essaie de rentrer de force,POLICE,Moyenne
mon pc est mort,MATÉRIEL,Basse
je cassé mon bras!,MÉDICAL,Moyenne
la fibre est très lent,INFRA,Haute
mon authentification est bloqué,ACCÈS,Moyenne
ma souris d'ordinateur est morte,MATÉRIEL,Basse
mon pc est bloqué,MATÉRIEL,Basse
mon accès tourne en boucle,ACCÈS,Moyenne
le routeur est très lent,INFRA,Haute
quelqu'un tire sur la foule!,POLICE,Haute
mon authentification me refuse l'accès,ACCÈS,Moyenne
un entrepot a été soufflé par une explosion,POMPIER,Haute
le routeur affiche une erreur 500,INFRA,Haute
ma session me refuse l'accès,ACCÈS,Moyenne
je saigne,MÉDICAL,Moyenne
mon ami a très mal au dos,MÉDICAL,Moyenne
un immeuble est rempli de fumée!,POMPIER,Haute
mon accès tourne en boucle,ACCÈS,Moyenne
mon clavier clignote sans arrêt,MATÉRIEL,Basse
un entrepot est en train de s'écrouler aidez-moi,POMPIER,Moyenne
un tueur rode autour de la maison je suis en danger,POLICE,Moyenne
un entrepot s'est effondré vite,POMPIER,Haute
je me suis fais tirer dessus,POLICE,Haute
mon login est bloqué,ACCÈS,Moyenne
un individu me suit dans la rue.,POLICE,Moyenne
j'ai une grosse hémorragie je suis en danger,MÉDICAL,Haute
une central nucléaire vient d'exploser,POMPIER,Haute
mon collègue a du mal à respirer!,MÉDICAL,Haute
mon authentification affiche une erreur,ACCÈS,Moyenne
le serveur a fondu,INFRA,Haute
mon ex a sorti une arme ma vie est en danger,POLICE,Haute
quelqu'un a avalé du poison.,MÉDICAL,Haute
mon ex a un couteau,POLICE,Haute
le réseau est très lent,INFRA,Haute
un gars rode autour de la maison,POLICE,Moyenne
mon fils a très mal au dos ma vie est en danger,MÉDICAL,Moyenne
le vpn est bloqué,ACCÈS,Moyenne
mon pc marche plus,MATÉRIEL,Basse
l'imprimante a un faux contact,MATÉRIEL,Basse
un tueur est entré par effraction,POLICE,Moyenne
un gars veut me poignarder ma vie est en danger,POLICE,Haute
le parking est en feu ma vie est en danger,POMPIER,Haute
mon fils a très mal au coeur aidez-moi,MÉDICAL,Haute
la forêt est en train de s'écrouler,POMPIER,Moyenne
mon login affiche une erreur,ACCÈS,Moyenne
ma vie est en danger,POLICE,Haute
un immeuble est en train de s'écrouler.,POMPIER,Moyenne
mon ami a avalé du poison je suis en danger,MÉDICAL,Haute
un tueur est entré par effraction aidez-moi,POLICE,Moyenne
quelqu'un a cassé mon bras!,MÉDICAL,Moyenne
j'ai très mal au dos ma vie est en danger,MÉDICAL,Moyenne
un gars est entré par effraction aidez-moi,POLICE,Moyenne
mon accès ne marche plus,ACCÈS,Moyenne
mon collègue a avalé du poison,MÉDICAL,Haute
un fou a un fusil aidez-moi,POLICE,Haute
ma souris d'ordinateur est morte,MATÉRIEL,Basse
un entrepot est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
j'ai le nez cassé ma vie est en danger,MÉDICAL,Moyenne
ma souris est cassé,MATÉRIEL,Basse
ma session affiche une erreur,ACCÈS,Moyenne
mon ex me suit dans la rue aidez-moi,POLICE,Moyenne
une usine menace de s'écrouler je suis en danger,POMPIER,Moyenne
j'ai perdu ma jambe vite,MÉDICAL,Haute
mon authentification me refuse l'accès,ACCÈS,Moyenne
mon casque est mort,MATÉRIEL,Basse
mon écran marche plus,MATÉRIEL,Basse
des gens essaie de me tuer!,POLICE,Haute
une maison menace de s'écrouler je suis en danger,POMPIER,Moyenne
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
l'imprimante clignote sans arrêt,MATÉRIEL,Basse
mon ami a très mal au ventre vite,MÉDICAL,Moyenne
mon mot de passe est expiré,ACCÈS,Moyenne
une usine fuit du gaz je suis en danger,POMPIER,Haute
j'ai fait un malaise,MÉDICAL,Haute
le vpn ne marche plus,ACCÈS,Moyenne
la forêt est en train de s'écrouler vite,POMPIER,Moyenne
mon coeur me fait mal,MÉDICAL,Haute
mon ami a très mal au ventre ma vie est en danger,MÉDICAL,Moyenne
un homme est entré par effraction!,POLICE,Moyenne
un entrepot est rempli de fumée ma vie est en danger,POMPIER,Haute
quelqu'un est entré par effraction,POLICE,Moyenne
la forêt est en train de s'écrouler je suis en danger,POMPIER,Moyenne
un entrepot est en feu aidez-moi,POMPIER,Haute
mon pc est mort,MATÉRIEL,Basse
des gens rode autour de la maison ma vie est en danger,POLICE,Moyenne
un batiment menace de s'écrouler vite,POMPIER,Moyenne
mon mot de passe est expiré,ACCÈS,Moyenne
le datacenter est tombé,INFRA,Haute
un entrepot a été soufflé par une explosion!,POMPIER,Haute
le serveur affiche une erreur 500,INFRA,Haute
ma souris d'ordinateur est morte,MATÉRIEL,Basse
ma souris d'ordinateur est morte,MATÉRIEL,Basse
mon casque fait un bruit bizarre,MATÉRIEL,Basse
mon fils a du sang partout vite,MÉDICAL,Haute
je saigne,MÉDICAL,Moyenne
une centrale nucléaire a pris feu aidez-moi,POMPIER,Haute
la forêt s'est effondré aidez-moi,POMPIER,Haute
un entrepot vient d'exploser je suis en danger,POMPIER,Haute
un inconnu essaie de rentrer de force!,POLICE,Moyenne
le vpn est verrouillé,ACCÈS,Moyenne
une voiture est en feu je suis en danger,POMPIER,Haute
mon clavier est bloqué,MATÉRIEL,Basse
mon login est bloqué,ACCÈS,Moyenne
un voleur essaie de me tuer,POLICE,Haute
mon fils a cassé mon bras je suis en danger,MÉDICAL,Moyenne
ma souris ne s'allume pas,MATÉRIEL,Basse
mon ami a très mal au dos je suis en danger,MÉDICAL,Moyenne
la forêt menace de s'écrouler vite,POMPIER,Moyenne
le parking vient d'exploser je suis en danger,POMPIER,Haute
j'ai perdu un oeil aidez-moi,MÉDICAL,Haute
mon fils a très mal au ventre!,MÉDICAL,Moyenne
un individu m'a tiré dessus.,POLICE,Haute
un immeuble est en train de s'écrouler.,POMPIER,Moyenne
mon ami a perdu ma jambe aidez-moi,MÉDICAL,Haute
mon fils a le nez cassé je suis en danger,MÉDICAL,Moyenne
je cassé mon bras,MÉDICAL,Moyenne
mon clavier est bloqué,MATÉRIEL,Basse
une maison fuit du gaz ma vie est en danger,POMPIER,Haute
ma souris marche plus,MATÉRIEL,Basse
un immeuble menace de s'écrouler.,POMPIER,Moyenne
un immeuble s'est effondré.,POMPIER,Haute
un gars a sorti une arme aidez-moi,POLICE,Haute
un immeuble est en train de s'écrouler aidez-moi,POMPIER,Moyenne
la base de données est tombé,INFRA,Haute
la base de données ne répond plus,INFRA,Haute
le serveur affiche une erreur 500,INFRA,Haute
un voleur rode autour de la maison vite,POLICE,Moyenne
mon login n'est pas reconnu,ACCÈS,Moyenne
mon collègue a très mal au dos.,MÉDICAL,Moyenne
un voleur essaie de rentrer de force je suis en danger,POLICE,Moyenne
une central nucléaire vient d'exploser,POMPIER,Haute
la base de données ne répond plus,INFRA,Haute
je le nez cassé aidez-moi,MÉDICAL,Moyenne
mon pc est mort,MATÉRIEL,Basse
je saigne,MÉDICAL,Moyenne
la base de données ne répond plus,INFRA,Haute
le serveur est très lent,INFRA,Haute
un entrepot est en train de s'écrouler je suis en danger,POMPIER,Moyenne
un inconnu rode autour de la maison aidez-moi,POLICE,Moyenne
mon pc est mort,MATÉRIEL,Basse
mon ami a du mal à respirer vite,MÉDICAL,Haute
des gens me frappe au visage je suis en danger,POLICE,Haute
je très mal au dos!,MÉDICAL,Moyenne
le vpn tourne en boucle,ACCÈS,Moyenne
le toit fuit du gaz vite,POMPIER,Haute
un immeuble est en train de s'écrouler je suis en danger,POMPIER,Moyenne
je le nez cassé ma vie est en danger,MÉDICAL,Moyenne
mon mot de passe est bloqué,ACCÈS,Moyenne
mon casque ne répond plus,MATÉRIEL,Basse
quelqu'un me suit dans la rue,POLICE,Moyenne
la fibre est en panne,INFRA,Haute
une maison brûle je suis en danger,POMPIER,Haute
un fou est entré par effraction ma vie est en danger,POLICE,Moyenne
mon collègue a le crâne ouvert vite,MÉDICAL,Haute
je cassé mon bras!,MÉDICAL,Moyenne
mon login affiche une erreur,ACCÈS,Moyenne
le vpn est verrouillé,ACCÈS,Moyenne
mon fils a le nez cassé je suis en danger,MÉDICAL,Moyenne
un inconnu est entré par effraction!,POLICE,Moyenne
un tueur me menace avec une arme vite,POLICE,Haute
mon fils a une grosse hémorragie ma vie est en danger,MÉDICAL,Haute
au secours on me tire dessus,POLICE,Haute
le serveur ne répond plus,INFRA,Haute
un voleur veut me poignarder.,POLICE,Haute
une maison fuit du gaz.,POMPIER,Haute
mon clavier ne s'allume pas,MATÉRIEL,Basse
un pont est en train de s'écrouler vite,POMPIER,Moyenne
la fibre a une latence énorme,INFRA,Haute
une usine est en train de s'écrouler je suis en danger,POMPIER,Moyenne
mon ex a un fusil aidez-moi,POLICE,Haute
mon ami a le bras arraché!,MÉDICAL,Haute
la base de données a une latence énorme,INFRA,Haute
un entrepot est en train de s'écrouler vite,POMPIER,Moyenne
mon collègue a très mal au coeur ma vie est en danger,MÉDICAL,Haute
ma souris est cassé,MATÉRIEL,Basse
un inconnu me menace avec une arme!,POLICE,Haute
la webcam est mort,MATÉRIEL,Basse
le parking menace de s'écrouler.,POMPIER,Moyenne
mon fils a du sang partout je suis en danger,MÉDICAL,Haute
un batiment a été soufflé par une explosion.,POMPIER,Haute
mon collègue a très mal au dos ma vie est en danger,MÉDICAL,Moyenne
l'imprimante est mort,MATÉRIEL,Basse
une voiture menace de s'écrouler je suis en danger,POMPIER,Moyenne
quelqu'un a fait un malaise ma vie est en danger,MÉDICAL,Haute
quelqu'un a le bras arraché aidez-moi,MÉDICAL,Haute
mon casque a l'écran fissuré,MATÉRIEL,Basse
mon ex a un couteau,POLICE,Haute
un batiment est rempli de fumée je suis en danger,POMPIER,Haute
mon casque ne répond plus,MATÉRIEL,Basse
l'imprimante est mort,MATÉRIEL,Basse
ma souris d'ordinateur est morte,MATÉRIEL,Basse
mon mot de passe affiche une erreur,ACCÈS,Moyenne
ma souris d'ordinateur est morte,MATÉRIEL,Basse
quelqu'un a un fusil!,POLICE,Haute
un individu me menace avec une arme aidez-moi,POLICE,Haute
des gens a un couteau vite,POLICE,Haute
mon coeur me fait mal,MÉDICAL,Haute
un entrepot brûle!,POMPIER,Haute
des gens me menace avec une arme vite,POLICE,Haute
un tueur me suit dans la rue ma vie est en danger,POLICE,Moyenne
mon ami a très mal au ventre je suis en danger,MÉDICAL,Moyenne
un voleur est entré par effraction,POLICE,Moyenne
mon collègue a une grosse hémorragie je suis en danger,MÉDICAL,Haute
j'ai du sang partout vite,MÉDICAL,Haute
je saigne du doigt,MÉDICAL,Basse
mon clavier est bloqué,MATÉRIEL,Basse
je fait un malaise vite,MÉDICAL,Haute
mon mot de passe a été piraté,ACCÈS,Moyenne
mon login est expiré,ACCÈS,Moyenne
le wifi est très lent,INFRA,Haute
mon casque est mort,MATÉRIEL,Basse
je fait un malaise ma vie est en danger,MÉDICAL,Haute
mon cœur me fait mal,MÉDICAL,Haute
mon pc marche plus,MATÉRIEL,Basse
un batiment vient de tomber,POMPIER,Haute
mon ami a très mal au dos aidez-moi,MÉDICAL,Moyenne
il y a quelqu'un qui tire,POLICE,Haute
le routeur est très lent,INFRA,Haute
quelqu'un a perdu un oeil,MÉDICAL,Haute
quelqu'un a très mal au ventre ma vie est en danger,MÉDICAL,Moyenne
un tueur me menace avec une arme!,POLICE,Haute
mon casque marche plus,MATÉRIEL,Basse
