"Sujets","Demande","Domaine","Niveau de priorité"
"Forte odeur de gaz","Bonjour les pompiers, il y a un énorme nid de frelons dans la cour de l'école. Cela se situe au <adresse>.","Opérations Diverses","Moyenne"
"Cave inondée","Allô le CTA, avec les fortes pluies, l'eau monte dangereusement dans notre sous-sol. Il n'y a pas de blessé mais c'est dangereux. C'est au <adresse>.","Opérations Diverses","Moyenne"
"Arbre sur la voie publique","Bonjour, je vous appelle pour un signalement. un grand arbre s'est abattu sur la route et bloque complètement la circulation. Il n'y a pas de blessé mais c'est dangereux. C'est au <adresse>.","Opérations Diverses","Moyenne"
"Forte odeur de gaz","Bonjour les pompiers, avec les fortes pluies, l'eau monte dangereusement dans notre sous-sol. Il n'y a pas de blessé mais c'est dangereux. C'est au <adresse>.","Opérations Diverses","Moyenne"
"Personne inconsciente sur la voie publique","Allô le 18 ? deux voitures viennent de se percuter violemment frontalement. Je suis sur place au <adresse>, envoyez une ambulance !","Secours à Personne (VSAV)","Haute"
"Malaise à domicile","Allô le 18 ? deux voitures viennent de se percuter violemment frontalement. La victime est au sol au <adresse>.","Secours à Personne (VSAV)","Haute"
"Chute d'une personne âgée","Allô le 18 ? mon mari vient de faire un malaise et ne respire plus bien. La victime est au sol au <adresse>.","Secours à Personne (VSAV)","Haute"
"Personne inconsciente sur la voie publique","Bonjour, j'ai une urgence : une personne âgée est tombée dans les escaliers et saigne de la tête. Je suis sur place au <adresse>, envoyez une ambulance !","Secours à Personne (VSAV)","Haute"
"Chute d'une personne âgée","Bonjour, j'ai une urgence : une personne âgée est tombée dans les escaliers et saigne de la tête. Je suis sur place au <adresse>, envoyez une ambulance !","Secours à Personne (VSAV)","Haute"
"Arbre sur la voie publique","Bonjour les pompiers, un grand arbre s'est abattu sur la route et bloque complètement la circulation. Cela se situe au <adresse>.","Opérations Diverses","Basse"
"Véhicule en feu","Allô les pompiers ! un champ est en train de brûler près des habitations. Je suis sorti mais il reste peut-être des gens à l'intérieur au <adresse>.","Incendie","Haute"
"Malaise à domicile","Vite, venez ! une personne âgée est tombée dans les escaliers et saigne de la tête. Ça se passe au <adresse>. Mon numéro est le <tel_num>.","Secours à Personne (VSAV)","Haute"
"Chute d'une personne âgée","Allô le 18 ? deux voitures viennent de se percuter violemment frontalement. La victime est au sol au <adresse>.","Secours à Personne (VSAV)","Haute"
"Chute d'une personne âgée","Vite, venez ! mon mari vient de faire un malaise et ne respire plus bien. La victime est au sol au <adresse>.","Secours à Personne (VSAV)","Haute"
"Chute d'une personne âgée","Allô les pompiers ? mon mari vient de faire un malaise et ne respire plus bien. La victime est au sol au <adresse>.","Secours à Personne (VSAV)","Haute"
"Chute d'une personne âgée","Allô le 18 ? un cycliste a été renversé par un camion. La victime est au sol au <adresse>.","Secours à Personne (VSAV)","Haute"
