texte,domaine,severite,impact,cible,friction
Qu'est-ce qui se passe? Qu'y a-t-il d'urgence? Où sommes-nous?,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Il pleut beaucoup. C'est dangereux! Qu'allez-nous faire?,RISQUES ENVIRONNEMENTAUX,3,2,0,MANQUE_LIEU
Quelle est la taille de l'eau? On va submerger!,RISQUES ENVIRONNEMENTAUX,4,2,0,MANQUE_LIEU
Il est tard. Où on va se planquer?,RISQUES ENVIRONNEMENTAUX,2,3,0,MANQUE_LIEU
On va bientôt être sous'eau! Qu'est-ce qu'on fait?,RISQUES ENVIRONNEMENTAUX,4,1,0,MANQUE_LIEU
Aide-moi ! Mon hôpital a perdu l'électricité ! Qu'est-ce qui se passe ?,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
"S'il vous plaît, rappelez-moi comment activer l'urgence ! Mon hôpital est complètement sans électricité !",ÉNERGIE & INFRASTRUCTURES,3,2,0,MANQUE_MESSAGE_ERREUR
Qu'est-ce qui a provoqué le coupure d'électricité ? Mon hôpital est complètement dans le noir !,ÉNERGIE & INFRASTRUCTURES,3,2,0,MANQUE_SYMPTOMES
Je suis paniqué ! Mon hôpital est complètement sans électricité ! Qui peut m'aider ?,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Mon hôpital est complètement sans électricité ! Comment puis-je me rendre en sécurité ?,ÉNERGIE & INFRASTRUCTURES,3,2,0,MANQUE_LIEU
Une personne âgée a été vue rôdant dangereusement dans la nuit sur le trottoir principal de la rue Saint-Martin. Elle semble étrangement nerveuse et agit avec une préoccupation inhabituelle.,POLICE,3,2,0,MANQUE_LIEU
"Une personne âgée a été remarquée errant dans un festival musical, manifestant une agitation anormale et agissant comme si elle cherchait quelqu'un.",POLICE,3,2,0,MANQUE_LIEU
"Une personne âgée a été observée rôdant de manière inexpliquée dans la boîte de nuit, apparemment cherchant quelqu'un et montrant une panique soudaine.",POLICE,3,2,0,MANQUE_LIEU
"Une personne âgée a été vue errant dans un concert, agissant de manière inappropriée et manifestant une anxiété inhabituelle.",POLICE,3,2,0,MANQUE_LIEU
"Une personne âgée a été remarquée rôdant dangereusement dans une rue pavée, manifestant une panique soudaine et cherchant quelqu'un.",POLICE,3,2,0,MANQUE_LIEU
Mon voisin est dans le pont! Il veut se suicider. Urgent!,ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
Il y a quelqu'un dans le pont qui envoie du SMS. Urgent!,ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
"Mon frère est dans le pont, il dit qu'il ne veut pas en parler. Urgent!",ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
Il y a une personne dans le pont qui dit ne pas vouloir en parler. Urgent!,ASSISTANCE SOCIALE,4,1,0,MANQUE_LIEU
Je vous ai dit plusieurs fois de ne pas laisser ces animaux sauvages à l'école ! C'est un désastre ! Je vais porter plainte !,ANIMALIER,4,2,0,MANQUE_LIEU
Arrêtez de faire des pauses ici ! Ces animaux vont causer des accidents !,ANIMALIER,3,1,0,MANQUE_LIEU
Qu'est-ce que vous faites ? Ces animaux peuvent nuire aux élèves ! Allez-y calmement et rappelez-vous que vous êtes à l'école !,ANIMALIER,4,1,0,MANQUE_LIEU
