"Sujets","Demande","Domaine","Niveau de priorité"
"Accès refusé à <app_name>","Bonjour l'équipe, je reviens de congés et j'ai totalement oublié mon mot de passe de session Windows. Mon nom d'utilisateur est <acc_num>.","Gestion des Comptes & Droits","Moyenne"
"Changement de téléphone MFA","Bonjour l'équipe sécurité, j'ai changé de smartphone hier et je n'ai plus l'application Microsoft Authenticator configurée. Est-il possible de réinitialiser ma méthode d'authentification ? Mon numéro est le <tel_num>.","Sécurité & Double Authentification","Moyenne"
"Coupures VPN fréquentes","Hello, mon client VPN affiche une erreur de timeout lors de l'authentification. Je suis en télétravail aujourd'hui. Mon ID est <acc_num>.","Accès Distant & VPN","Haute"
"Changement de téléphone MFA","Hello le helpdesk, j'ai changé de smartphone hier et je n'ai plus l'application Microsoft Authenticator configurée. Mon identifiant de connexion est <acc_num>.","Sécurité & Double Authentification","Basse"
"Connexion VPN impossible","Bonjour le support, la connexion VPN se coupe toute seule toutes les 5 minutes. J'utilise une connexion fibre à domicile qui fonctionne très bien par ailleurs.","Accès Distant & VPN","Haute"
"Compte verrouillé","Bonjour l'équipe, je reviens de congés et j'ai totalement oublié mon mot de passe de session Windows. J'ai besoin de cet accès de toute urgence pour finaliser un dossier.","Gestion des Comptes & Droits","Moyenne"
"Impossible de joindre le réseau d'entreprise","Hello, mon client VPN affiche une erreur de timeout lors de l'authentification. C'est assez urgent, j'ai une réunion dans 10 minutes. Joignable au <tel_num>.","Accès Distant & VPN","Haute"
"Coupures VPN fréquentes","Hello, mon client VPN affiche une erreur de timeout lors de l'authentification. Je suis en télétravail aujourd'hui. Mon ID est <acc_num>.","Accès Distant & VPN","Moyenne"
"Accès refusé à <app_name>","Au secours, mon mot de passe a expiré ce week-end et la page de renouvellement tourne en boucle. Mon manager a pourtant validé mes droits d'accès la semaine dernière.","Gestion des Comptes & Droits","Basse"
"Coupures VPN fréquentes","Hello, je suis connecté au VPN mais je n'arrive pas à accéder aux disques partagés. J'utilise une connexion fibre à domicile qui fonctionne très bien par ailleurs.","Accès Distant & VPN","Moyenne"
"Problème application Authenticator","Hello le helpdesk, j'ai changé de smartphone hier et je n'ai plus l'application Microsoft Authenticator configurée. Est-il possible de réinitialiser ma méthode d'authentification ? Mon numéro est le <tel_num>.","Sécurité & Double Authentification","Basse"
"Problème application Authenticator","Bonjour, l'application me demande un code d'approbation mais aucune notification n'apparaît. Je suis complètement bloqué pour accéder à ma messagerie.","Sécurité & Double Authentification","Basse"
"Mot de passe oublié","Au secours, j'ai un message 'Accès Refusé - Droits insuffisants' quand j'essaie d'ouvrir l'application <app_name>. Mon nom d'utilisateur est <acc_num>.","Gestion des Comptes & Droits","Moyenne"
"Connexion VPN impossible","Bonjour le support, mon client VPN affiche une erreur de timeout lors de l'authentification. C'est assez urgent, j'ai une réunion dans 10 minutes. Joignable au <tel_num>.","Accès Distant & VPN","Haute"
"Code MFA non reçu","Bonjour l'équipe sécurité, j'ai changé de smartphone hier et je n'ai plus l'application Microsoft Authenticator configurée. Je suis complètement bloqué pour accéder à ma messagerie.","Sécurité & Double Authentification","Moyenne"
"Impossible de joindre le réseau d'entreprise","Bonjour le support, mon client VPN affiche une erreur de timeout lors de l'authentification. Je suis en télétravail aujourd'hui. Mon ID est <acc_num>.","Accès Distant & VPN","Moyenne"
"Impossible de joindre le réseau d'entreprise","Hello, mon client VPN affiche une erreur de timeout lors de l'authentification. J'utilise une connexion fibre à domicile qui fonctionne très bien par ailleurs.","Accès Distant & VPN","Haute"
"Changement de téléphone MFA","Bonjour l'équipe sécurité, l'application me demande un code d'approbation mais aucune notification n'apparaît. Mon identifiant de connexion est <acc_num>.","Sécurité & Double Authentification","Moyenne"
"Mot de passe expiré","Bonjour l'équipe, je reviens de congés et j'ai totalement oublié mon mot de passe de session Windows. Mon manager a pourtant validé mes droits d'accès la semaine dernière.","Gestion des Comptes & Droits","Moyenne"
