texte,domaine,statut_friction,question_bot,impact_cible,urgence_cible
Ransomware détecté au siège,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Mon père ai une petite coupure le doigt,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le doigt), mais à quelle adresse êtes-vous ?",1,1
Une explosion dans le métro ligne 4,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Mon fils menace avec avec un couteau à l'école primaire,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Mon père ai fait une chute grave la colonne,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à la colonne. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Ma mère fait un choc anaphylactique au croisement de la rue jean jaurès,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Mon fils fait un arrêt cardiaque,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Mon enfant m'a agressé avec un couteau,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Mon père menace avec dans la forêt,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Mon mari tousse un peu le doigt,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le doigt), mais à quelle adresse êtes-vous ?",1,1
Mon mari s'étouffe,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Un crash,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Mon fils se vide de son sang,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Base de données plantée à l'agence,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Une fuite de gaz devant la gare,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Base de données plantée au siège,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Ransomware détecté au datacenter,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Ma mère ai un rhume le doigt au 10 rue de la République,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Mon père se vide de son sang au 5 rue de la paix,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Le serveur est en panne timeout à l'agence,INFRA,COMPLET,✅ Incident technique qualifié. Le support N2 prend le relais.,3,3
Mon père fait un choc anaphylactique,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Mon fils me suis écorché la main dans la forêt,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Un collègue m'a agressé avec une batte à Paris,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Un ami ai très mal le dos,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le dos. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Mon mari ai un rhume à l'école primaire,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Un passant fait un choc anaphylactique dans la forêt,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
