texte_historique,domaine,impact,urgence,statut_friction_final,question_bot
"Je suis dans ma voiture sur le bas-côté. Je ne sais pas ce qui m'arrive. Mon téléphone est mauvais, j'ai du mal à entendre.",MÉDICAL,4,3,MANQUE_LIEU,"Je reste avec vous. Sur quelle route ou autoroute êtes-vous, et à proximité de quelle sortie ou ville ?"
"Je suis un diabétique et je ne sais plus où je me trouve. Je n'ai pas de glycémie, mon téléphone est mauvais aussi.",MÉDICAL,3,2,MANQUE_LIEU,Je reste avec vous. À quelle adresse ou à quel endroit dois-je envoyer les secours ?
"J'ai fait une chute de vélo, j'ai du mal à bouger. Je suis en colère et mon téléphone est mauvais.",MÉDICAL,4,2,MANQUE_LIEU,Je vous entends. Pouvez-vous me donner votre adresse ou décrire l'endroit où vous vous trouvez ?
J'ai une personne dans l'eau glacée et je ne sais pas ce qui m'arrive. Je suis malvoyante et mon téléphone est mauvais.,MÉDICAL,4,4,MANQUE_LIEU,Je reste avec vous. À quelle adresse se trouve la personne dans l'eau ?
J'ai un infarctus du myocarde. J'ai mal à mon poitrine et dans le bras gauche. Je suis choqué et mon téléphone est mauvais.,MÉDICAL,4,4,COMPLET,
"Je suis désolé, mais je ne peux pas aider avec ça.",POLICE,2,3,COMPLET,
Il est dans le parc derrière l'entrée principale.,POLICE,4,2,COMPLET,
"Mon téléphone est tombé, je ne sais pas où j'ai mis la clé.",POLICE,3,4,COMPLET,
"Je n'ai pas reçu d'argent, j'ai juste fait un faux appel.",POLICE,2,1,COMPLET,
"Madame Dupont, je suis une parente de l'élève qui a vu un étrange liquide noir sortir d'un laboratoire et il y a des picotements aux yeux. Il y a plusieurs personnes autour qui parlent en même temps.",POMPIER,4,3,COMPLET,
"Salut mec, j'ai vu un gros feu de transformateur électrique dans le quartier. Des arcs électriques partout ! J'espère que personne n'est blessé.",POMPIER,4,3,COMPLET,
"Salut, c'est un client en colère. Il y a eu une fuite de produit chimique inconnu dans le laboratoire et il y a des picotements aux yeux.",POMPIER,3,2,COMPLET,
"Ah ben ouais, j'ai vu de la fumée sortir d'un bouche d'égout dans la rue. Je suis pas sûr si c'est grave mais j'ai peur que ça ne soit pas bon.",POMPIER,2,1,MANQUE_LIEU,À quelle adresse exacte se produit l'incendie ?
"Je suis un passant pressé, j'ai vu un gros feu de transformateur électrique dans le quartier. Des arcs électriques partout ! J'espère que personne n'est blessé.",POMPIER,4,3,COMPLET,
"Salut, bonjour ! J'ai un problème avec le convoyeur de production. Il est soudainement arrêté et il y a un bouchon à l'entrée.",MATÉRIEL,4,3,COMPLET,
"Madame, mon chien a mordu ma fille. Elle a une grande plaie et sanguine beaucoup.",MÉDICAL,4,4,COMPLET,
"Personne, il y a eu une chute de cheval ! La fille ne se souvient plus de rien.",MÉDICAL,3,4,COMPLET,
"Hé, bonjour. Mon diabète m'a saisi, je ne reconnais plus personne.",MÉDICAL,2,3,COMPLET,
Oh non ! Ma grand-mère a pris beaucoup de médicaments. Ses pupilles sont tristes et elle dort.,MÉDICAL,3,3,COMPLET,
"Personne, il est sur le rebord de la fenêtre ! Il veut se jeter !",MÉDICAL,4,5,COMPLET,
Je suis un parent épuisé. Mon enfant est inconscient sur le banc public. La respiration est irrégulière. Je ne sais pas quoi faire.,MÉDICAL,4,4,COMPLET,
Je dois aider mon enfant. Il a une douleur soudaine dans le dos qui va à la poitrine. Je suis épuisé et les mains sont occupées.,MÉDICAL,4,3,COMPLET,
Il semble qu'il y ait une hémorragie post-partum. La patiente perd connaissance. Je suis en course et je suis essoufflé.,MÉDICAL,4,4,COMPLET,
Mon frère a un diabète et est dans l'hypoglycémie sévère. Il ne reconnaît plus ses proches. La connexion téléphonique est mauvaise.,MÉDICAL,3,2,COMPLET,
Je suis un professionnel de santé hors service. Une personne tente d'autolyse par défenestration. Elle est sur le rebord de la fenêtre.,MÉDICAL,4,4,COMPLET,
"Bonjour, je suis M. Dupont. Je voudrais signaler une alarme intermittente sur l'ordinateur du directeur de projets.",MATÉRIEL,3,4,COMPLET,
"Salut, je suis Mme Dubois. Le climatiseur de la salle de réunion est tombé en panne. La température est au-dessus du seuil ISO5 et nous devons arrêter la production.",MATÉRIEL,4,3,COMPLET,
"Alors, c'est M. Martin qui appelle. Il y a une fissure visible sur l'imprimante en cours de rotation. Ca va nous arrêter !",MATÉRIEL,4,3,COMPLET,
"Bonjour, c'est Mme Moreau. Le générateur de secours est tombé en panne. On fait une routine et ça ne veut pas démarrer !",MATÉRIEL,3,4,COMPLET,
"Salut, c'est M. Gagnon. On a un problème avec la machine de café. Le temps de réponse est vraiment long et ça perturbe tout le monde !",MATÉRIEL,2,4,COMPLET,
"Je suis dans un ascenseur, le signal est intermittent. Je disparais et réapparais. Qu'est-ce qui s'est passé ?",POMPIER,4,4,COMPLET,
"La connexion téléphonique est mauvaise, tu dois parfois te répéter. Le feu de poubelle commence à atteindre une façade d'immeuble. Qu'est-ce qui s'est passé ?",POMPIER,3,4,COMPLET,
"Je suis dans un tunnel ou un parking souterrain, il y a un écho énorme. Odeur de brûlé persistante dans un immeuble sans source visible. Qu'est-ce qui s'est passé ?",POMPIER,2,3,COMPLET,
Vent violent qui sature le micro de ton téléphone. Accumulation de neige sur une toiture fragile menaçant de s'effondrer sur une école. Qu'est-ce qui s'est passé ?,POMPIER,3,4,COMPLET,
"La connexion téléphonique est mauvaise, tu dois parfois te répéter. Grange en feu avec des animaux à l'intérieur. Qu'est-ce qui s'est passé ?",POMPIER,4,4,COMPLET,
Il y a quelqu'un qui hurle dans la rue ! C'est effrayant !,POLICE,4,4,COMPLET,
Je vois des cris et des coups au mur ! C'est terrible !,POLICE,3,4,COMPLET,
Il suit ma fille depuis vingt minutes ! Je ne sais pas ce qu'il veut !,POLICE,2,3,COMPLET,
Quelqu'un est ivre et bloque tout le monde sur la rue ! C'est un désastre !,POLICE,3,4,COMPLET,
Il y a un colis abandonné dans la gare. Qu'est-ce que c'est ?,POLICE,1,2,MANQUE_LIEU,"Dans quelle gare, sur quelle ligne ou à quel arrêt se passe l'incident ?"
"Bonjour, c'est Jean Dupont. Je suis en train de regarder mes enfants dans le parc du Trois Moulins depuis une heure et je me sens un peu inquiet. Ils sont là tout seuls et il fait déjà nuit.",POLICE,3,3,COMPLET,
"Salut, je suis Marie Martin. J'ai vu un véhicule bizarre garé devant l'école des Petits Élégants pendant plus d'une heure et le moteur tourne toujours.",POLICE,3,2,COMPLET,
"Je suis désolé, c'est Marie Dupont. Je me disais que quelqu'un essayait d'ouvrir plusieurs voitures sur le parking sous le Parc des Étoiles pendant une heure. J'ai vraiment besoin de vous aider avec ça.",POLICE,3,2,COMPLET,
"Salut, je suis Jeanne Dubois. J'entends des cris et des coups à travers le mur de mon immeuble et j'ai vraiment peur. J'espère que vous pouvez aider rapidement.",POLICE,4,4,COMPLET,
"Bonjour, c'est Charles Martin. J'ai un client ivre qui bloque la circulation en plein carrefour du Boulevard des Étoiles depuis une heure et il ne veut pas bouger.",POLICE,3,2,COMPLET,
"Salut les gars, j'ai un ascenseur de charge qui bloque. Il y a une palette à mi-hauteur, ça bloque le couloir. Je suis désinvolte et je voudrais qu'on arrête ça vite. Et écoutez bien, il fait pas beau, vent violent, mon micro est saturé !",MATÉRIEL,4,4,COMPLET,
"Salut, j'ai un ascenseur de charge qui bloque. Il y a une palette à mi-hauteur, ça bloque le couloir. Je suis un collègue pragmatique et je dois chuchoter. C'est important, on ne peut pas le faire entendre. D'accord ?",MATÉRIEL,3,3,COMPLET,
"Salut, mon robot de soudure est déréglé. Les cordons sont hors tolérance et ça fait une série entière à revoir. J'ai des soucis avec les couloirs. On doit le voir rapidement !",MATÉRIEL,4,4,COMPLET,
"Salut, j'ai un capteur de sécurité désactivé pour 'gagner du temps'. Il fait très froid, je sens les dents qui claquent. J'ai besoin que vous fixiez ça vite !",MATÉRIEL,3,3,COMPLET,
"Salut, j'ai une fissure visible sur une pièce mécanique en rotation. Il y a beaucoup de bruit de fond. On doit vérifier ça rapidement !",MATÉRIEL,3,3,COMPLET,
"Bonjour, je suis Jean Dupont. J'ai une odeur de plastique brûlé provenant de ma machine à café. Je suis malvoyante et j'ai du mal à voir clairement. La connexion téléphonique est mauvaise, tu dois parfois te répéter.",MATÉRIEL,3,2,COMPLET,
"Salut, c'est Marie Martin. Mon capteur de température est cassé sur la cuve d'huile essentielle du garage. Je suis sarcastique et je ne peux pas parler clairement. J'ai les mains occupées (blessure compressée) et mon enfant dans les bras.",MATÉRIEL,4,3,MANQUE_LIEU,Dans quel local ou zone de production se trouve cet équipement ?
Je suis Sophie Rousseau. Mon forageur électrique consomme beaucoup d'électricité et ça dépasse la limite. Je suis parent de famille et il y a plusieurs personnes autour qui parlent en même temps.,MATÉRIEL,3,1,COMPLET,
"Bonjour, c'est Jean-Pierre Dubois. J'ai un problème avec ma machine à laver. Elle ne répond pas correctement et ça prend trop de temps. Je suis âgé et je parle mal dans ce tunnel.",MATÉRIEL,2,4,COMPLET,
"Salut, c'est Anne Dubois. Mon imprimante industrielle est en panne et ça bloque toute la production. J'ai les mains occupées (blessure compressée) et mon enfant dans les bras. La deadline est dans 2 heures.",MATÉRIEL,4,4,COMPLET,
"Monsieur Dupont a perdu son code d'accès. Il est dans le parc avec son enfant. N'oubliez pas, l'enfant est seul.",ACCÈS,4,3,COMPLET,
"Madame Martin a déclenché le capteur de porte de secours. Elle est en cours de course, les pieds ne touchent pas le sol.",ACCÈS,3,4,COMPLET,
"Monsieur Dubois a une caméra orientée vers un mur depuis ce matin. Le vent est fort, il ne comprend pas bien.",ACCÈS,2,2,COMPLET,
"Madame Durand a une porte coupe-feu qui ne se ferme plus. Elle conduit dans le quartier, les mains libres.",ACCÈS,4,3,COMPLET,
"Monsieur Lefebvre a perdu sa clé maîtresse. Il est dans un parking souterrain, l'écho est énorme.",ACCÈS,3,2,COMPLET,
Mon collègue de travail m'a appelé pour dire qu'il y a du vandalisme sur le monument des héros. Il est dans un état d'urgence car il fait très fort à l'extérieur.,POLICE,4,4,COMPLET,
J'ai besoin d'aide pour trouver ce groupe de personnes qui ont pris mon entrepôt. Ils sont cachés et on ne peut pas les voir.,POLICE,3,4,COMPLET,
Je suis dans le métro et une personne agressive est en train de frapper des passagers. Elle devrait pas être là.,POLICE,2,3,COMPLET,
Je suis parent et mon enfant a une blessure. Il est dans le métro et une personne agressive est en train de frapper d'autres passagers.,POLICE,3,4,COMPLET,
J'ai un adolescent désinvolte qui est en train de faire du bruit dans le métro. Il dit que sa connexion téléphonique est mauvaise.,POLICE,1,2,COMPLET,
Monsieur Dupont demande l'accès pour dépanner chez Mme Durand. Badge emprunté.,,3,3,COMPLET,
