texte,domaine,severite,impact,cible,friction
"Désolé, j'ai perdu le fil. Mon serveur est en surchauffe critique! Je suis désespéré!",ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
J'ai besoin d'aide immédiatement! Mon système de refroidissement est cassé!,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
"S'il vous plaît, aidez-moi! Je suis désespéré avec le surchauffe des serveurs!",ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Mon système de refroidissement est en panne! Des serveurs surchauffés!,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
J'ai perdu le contrôle! Mon serveur est en surchauffe critique!,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
"S'il vous plaît, aidez-moi! Mon système de refroidissement ne fonctionne pas!",ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
J'ai besoin d'aide critique! Mon serveur est en surchauffe!,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
Mon système de refroidissement est cassé! Des serveurs surchauffés!,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
"Désolé, mon serveur est en surchauffe critique! Aidez-moi!",ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
J'ai perdu le fil! Mon serveur est surchauffé!,ÉNERGIE & INFRASTRUCTURES,4,1,0,MANQUE_LIEU
OH MON DIEU!!! Qu'est-ce que c'est? Qu'arrive-t-il sur l'autoroute?!,TRANSPORT & MOBILITÉ,4,1,0,MANQUE_LIEU
Où est le feu? Quel est l'état du véhicule?!,TRANSPORT & MOBILITÉ,2,1,0,MANQUE_IDENTIFIANT
"Les gens sont-ils blessés? Oui, ils sont blessés!",TRANSPORT & MOBILITÉ,3,1,0,MANQUE_SYMPTOMES
"Je suis perdu, où est l'autoroute?",TRANSPORT & MOBILITÉ,1,1,0,MANQUE_CONTEXTE
Qu'est-ce que c'est? Un monstre sur l'autoroute?,TRANSPORT & MOBILITÉ,4,1,0,MANQUE_LIEU
"Les véhicules sont-ils détruits? Oui, ils sont en ruines!",TRANSPORT & MOBILITÉ,3,1,0,MANQUE_SYMPTOMES
Quelle est l'état du feu? Est-il en train de s'extérioriser?,TRANSPORT & MOBILITÉ,2,1,0,MANQUE_MESSAGE_ERREUR
Où sont-ils? Quelle est la situation exacte?,TRANSPORT & MOBILITÉ,1,1,0,MANQUE_CONTEXTE
"Les gens sont-ils blessés? Oui, ils ont des plaies!",TRANSPORT & MOBILITÉ,3,1,0,MANQUE_SYMPTOMES
Qu'est-ce que c'est? Un monstre sur l'autoroute?!,TRANSPORT & MOBILITÉ,4,1,0,MANQUE_LIEU
Il y a un drone suspect survolant la base militaire. Vérifiez la zone de sécurité sur le sol.,POLICE,3,2,4,MANQUE_LIEU
