texte,label,priorite
"Personne errante et confuse sur l'autoroute - boulevard Victor Hugo, Marseille",POLICE,BASSE
"Inondation de sous-sol après orage violent - secteur centre, Lille",POMPIER,MOYENNE
"Feu de structure dans un immeuble d'habitation - zone industrielle, Marseille",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - avenue de la République, Lille",POLICE,BASSE
"Feu de structure dans un immeuble d'habitation - zone industrielle, Lyon",POMPIER,HAUTE
"Départ de feu de forêt zone péri-urbaine - avenue de la République, Paris",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - zone industrielle, Marseille",POLICE,BASSE
"Accident de la route avec personne incarcérée - zone industrielle, Marseille",POMPIER,HAUTE
"Ascenseur bloqué avec plusieurs personnes - avenue de la République, Bordeaux",POMPIER,MOYENNE
"Départ de feu de forêt zone péri-urbaine - zone industrielle, Lille",POMPIER,HAUTE
"Vol à l'arraché dans le centre ville - rue de la Paix, Bordeaux",POLICE,MOYENNE
"Agression à main armée signalée sur la voie publique - zone industrielle, Bordeaux",POLICE,HAUTE
"Ascenseur bloqué avec plusieurs personnes - avenue de la République, Lyon",POMPIER,MOYENNE
"Départ de feu de forêt zone péri-urbaine - rue de la Paix, Lille",POMPIER,HAUTE
"Alerte monoxyde de carbone dans une école - avenue de la République, Lille",POMPIER,HAUTE
"Chat coincé sur un toit à grande hauteur - rue de la Paix, Paris",POMPIER,BASSE
"Fuite de gaz suspecte dans une cave - boulevard Victor Hugo, Lyon",POMPIER,HAUTE
"Vol à l'arraché dans le centre ville - avenue de la République, Paris",POLICE,MOYENNE
"Ascenseur bloqué avec plusieurs personnes - boulevard Victor Hugo, Lille",POMPIER,MOYENNE
"Chat coincé sur un toit à grande hauteur - zone industrielle, Bordeaux",POMPIER,BASSE
"Cambriolage en cours signalé par un voisin - avenue de la République, Marseille",POLICE,MOYENNE
"Chat coincé sur un toit à grande hauteur - boulevard Victor Hugo, Marseille",POMPIER,BASSE
"Signalement de trafic de stupéfiants dans un hall - rue de la Paix, Bordeaux",POLICE,BASSE
"Manifestation non déclarée avec dégradations - zone industrielle, Bordeaux",POLICE,MOYENNE
"Véhicule suspect stationné devant une banque - rue de la Paix, Lille",POLICE,BASSE
"Chat coincé sur un toit à grande hauteur - secteur centre, Marseille",POMPIER,BASSE
"Agression à main armée signalée sur la voie publique - avenue de la République, Marseille",POLICE,HAUTE
"Feu de structure dans un immeuble d'habitation - secteur centre, Paris",POMPIER,HAUTE
"Manifestation non déclarée avec dégradations - secteur centre, Marseille",POLICE,MOYENNE
"Fuite de gaz suspecte dans une cave - avenue de la République, Paris",POMPIER,HAUTE
"Feu de poubelle se propageant à un véhicule - avenue de la République, Bordeaux",POMPIER,HAUTE
"Feu de structure dans un immeuble d'habitation - avenue de la République, Marseille",POMPIER,HAUTE
"Feu de structure dans un immeuble d'habitation - rue de la Paix, Marseille",POMPIER,HAUTE
"Différend familial violent avec menaces - rue de la Paix, Bordeaux",POLICE,MOYENNE
"Tapage nocturne persistant et cris - avenue de la République, Paris",POLICE,BASSE
"Chat coincé sur un toit à grande hauteur - boulevard Victor Hugo, Bordeaux",POMPIER,BASSE
"Véhicule suspect stationné devant une banque - rue de la Paix, Bordeaux",POLICE,BASSE
"Agression à main armée signalée sur la voie publique - boulevard Victor Hugo, Marseille",POLICE,HAUTE
"Manifestation non déclarée avec dégradations - rue de la Paix, Lyon",POLICE,MOYENNE
"Ascenseur bloqué avec plusieurs personnes - secteur centre, Lyon",POMPIER,MOYENNE
"Vol à l'arraché dans le centre ville - zone industrielle, Lyon",POLICE,MOYENNE
"Vol à l'arraché dans le centre ville - zone industrielle, Bordeaux",POLICE,MOYENNE
"Inondation de sous-sol après orage violent - zone industrielle, Lyon",POMPIER,MOYENNE
"Véhicule suspect stationné devant une banque - rue de la Paix, Lille",POLICE,BASSE
"Feu de poubelle se propageant à un véhicule - zone industrielle, Bordeaux",POMPIER,HAUTE
"Feu de poubelle se propageant à un véhicule - boulevard Victor Hugo, Marseille",POMPIER,HAUTE
"Feu de structure dans un immeuble d'habitation - avenue de la République, Paris",POMPIER,HAUTE
"Véhicule suspect stationné devant une banque - boulevard Victor Hugo, Lyon",POLICE,BASSE
"Cambriolage en cours signalé par un voisin - avenue de la République, Paris",POLICE,MOYENNE
"Inondation de sous-sol après orage violent - secteur centre, Paris",POMPIER,MOYENNE
"Alerte monoxyde de carbone dans une école - rue de la Paix, Bordeaux",POMPIER,HAUTE
"Feu de structure dans un immeuble d'habitation - boulevard Victor Hugo, Marseille",POMPIER,HAUTE
"Tapage nocturne persistant et cris - secteur centre, Marseille",POLICE,BASSE
"Fuite de gaz suspecte dans une cave - rue de la Paix, Bordeaux",POMPIER,HAUTE
"Différend familial violent avec menaces - zone industrielle, Bordeaux",POLICE,MOYENNE
"Agression à main armée signalée sur la voie publique - rue de la Paix, Lyon",POLICE,HAUTE
"Manifestation non déclarée avec dégradations - rue de la Paix, Marseille",POLICE,MOYENNE
"Feu de structure dans un immeuble d'habitation - avenue de la République, Lyon",POMPIER,HAUTE
"Signalement de trafic de stupéfiants dans un hall - rue de la Paix, Lyon",POLICE,BASSE
"Cambriolage en cours signalé par un voisin - zone industrielle, Lyon",POLICE,MOYENNE
"Accident de la route avec personne incarcérée - boulevard Victor Hugo, Lyon",POMPIER,HAUTE
"Accident de la route avec personne incarcérée - avenue de la République, Bordeaux",POMPIER,HAUTE
"Alerte monoxyde de carbone dans une école - avenue de la République, Lyon",POMPIER,HAUTE
"Accident de la route avec personne incarcérée - secteur centre, Marseille",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - avenue de la République, Lyon",POLICE,BASSE
"Inondation de sous-sol après orage violent - secteur centre, Marseille",POMPIER,MOYENNE
"Fuite de gaz suspecte dans une cave - secteur centre, Marseille",POMPIER,HAUTE
"Agression à main armée signalée sur la voie publique - secteur centre, Marseille",POLICE,HAUTE
"Véhicule suspect stationné devant une banque - boulevard Victor Hugo, Bordeaux",POLICE,BASSE
"Agression à main armée signalée sur la voie publique - boulevard Victor Hugo, Marseille",POLICE,HAUTE
"Inondation de sous-sol après orage violent - rue de la Paix, Lyon",POMPIER,MOYENNE
"Différend familial violent avec menaces - boulevard Victor Hugo, Marseille",POLICE,MOYENNE
"Ascenseur bloqué avec plusieurs personnes - rue de la Paix, Paris",POMPIER,MOYENNE
"Manifestation non déclarée avec dégradations - secteur centre, Bordeaux",POLICE,MOYENNE
"Cambriolage en cours signalé par un voisin - avenue de la République, Lyon",POLICE,MOYENNE
"Feu de structure dans un immeuble d'habitation - zone industrielle, Marseille",POMPIER,HAUTE
"Différend familial violent avec menaces - avenue de la République, Bordeaux",POLICE,MOYENNE
"Manifestation non déclarée avec dégradations - boulevard Victor Hugo, Lille",POLICE,MOYENNE
"Chat coincé sur un toit à grande hauteur - avenue de la République, Lyon",POMPIER,BASSE
"Fuite de gaz suspecte dans une cave - rue de la Paix, Paris",POMPIER,HAUTE
"Véhicule suspect stationné devant une banque - rue de la Paix, Bordeaux",POLICE,BASSE
"Départ de feu de forêt zone péri-urbaine - avenue de la République, Paris",POMPIER,HAUTE
"Feu de poubelle se propageant à un véhicule - boulevard Victor Hugo, Lyon",POMPIER,HAUTE
"Agression à main armée signalée sur la voie publique - zone industrielle, Marseille",POLICE,HAUTE
"Agression à main armée signalée sur la voie publique - rue de la Paix, Lyon",POLICE,HAUTE
"Inondation de sous-sol après orage violent - avenue de la République, Paris",POMPIER,MOYENNE
"Feu de poubelle se propageant à un véhicule - avenue de la République, Paris",POMPIER,HAUTE
"Manifestation non déclarée avec dégradations - boulevard Victor Hugo, Bordeaux",POLICE,MOYENNE
"Véhicule suspect stationné devant une banque - rue de la Paix, Paris",POLICE,BASSE
"Accident de la route avec personne incarcérée - secteur centre, Marseille",POMPIER,HAUTE
"Chat coincé sur un toit à grande hauteur - avenue de la République, Marseille",POMPIER,BASSE
"Cambriolage en cours signalé par un voisin - boulevard Victor Hugo, Bordeaux",POLICE,MOYENNE
"Différend familial violent avec menaces - zone industrielle, Bordeaux",POLICE,MOYENNE
"Ascenseur bloqué avec plusieurs personnes - zone industrielle, Paris",POMPIER,MOYENNE
"Signalement de trafic de stupéfiants dans un hall - secteur centre, Marseille",POLICE,BASSE
"Chat coincé sur un toit à grande hauteur - rue de la Paix, Marseille",POMPIER,BASSE
"Feu de poubelle se propageant à un véhicule - rue de la Paix, Marseille",POMPIER,HAUTE
"Cambriolage en cours signalé par un voisin - zone industrielle, Lyon",POLICE,MOYENNE
"Personne errante et confuse sur l'autoroute - boulevard Victor Hugo, Marseille",POLICE,BASSE
"Personne errante et confuse sur l'autoroute - boulevard Victor Hugo, Paris",POLICE,BASSE
"Inondation de sous-sol après orage violent - zone industrielle, Bordeaux",POMPIER,MOYENNE
"Personne errante et confuse sur l'autoroute - zone industrielle, Lyon",POLICE,BASSE
"Inondation de sous-sol après orage violent - rue de la Paix, Bordeaux",POMPIER,MOYENNE
"Signalement de trafic de stupéfiants dans un hall - rue de la Paix, Lille",POLICE,BASSE
"Alerte monoxyde de carbone dans une école - zone industrielle, Bordeaux",POMPIER,HAUTE
"Vol à l'arraché dans le centre ville - rue de la Paix, Paris",POLICE,MOYENNE
"Départ de feu de forêt zone péri-urbaine - boulevard Victor Hugo, Lille",POMPIER,HAUTE
"Tapage nocturne persistant et cris - zone industrielle, Bordeaux",POLICE,BASSE
"Feu de poubelle se propageant à un véhicule - secteur centre, Lille",POMPIER,HAUTE
"Départ de feu de forêt zone péri-urbaine - secteur centre, Lyon",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - secteur centre, Paris",POLICE,BASSE
"Agression à main armée signalée sur la voie publique - boulevard Victor Hugo, Lyon",POLICE,HAUTE
"Personne errante et confuse sur l'autoroute - rue de la Paix, Lille",POLICE,BASSE
"Différend familial violent avec menaces - boulevard Victor Hugo, Marseille",POLICE,MOYENNE
"Différend familial violent avec menaces - rue de la Paix, Paris",POLICE,MOYENNE
"Feu de structure dans un immeuble d'habitation - rue de la Paix, Lyon",POMPIER,HAUTE
"Agression à main armée signalée sur la voie publique - boulevard Victor Hugo, Lille",POLICE,HAUTE
"Départ de feu de forêt zone péri-urbaine - zone industrielle, Marseille",POMPIER,HAUTE
"Fuite de gaz suspecte dans une cave - avenue de la République, Marseille",POMPIER,HAUTE
"Personne errante et confuse sur l'autoroute - rue de la Paix, Paris",POLICE,BASSE
"Différend familial violent avec menaces - rue de la Paix, Bordeaux",POLICE,MOYENNE
"Chat coincé sur un toit à grande hauteur - secteur centre, Marseille",POMPIER,BASSE
"Tapage nocturne persistant et cris - zone industrielle, Bordeaux",POLICE,BASSE
"Chat coincé sur un toit à grande hauteur - zone industrielle, Bordeaux",POMPIER,BASSE
"Alerte monoxyde de carbone dans une école - secteur centre, Lyon",POMPIER,HAUTE
"Différend familial violent avec menaces - boulevard Victor Hugo, Marseille",POLICE,MOYENNE
"Agression à main armée signalée sur la voie publique - secteur centre, Lille",POLICE,HAUTE
"Feu de structure dans un immeuble d'habitation - boulevard Victor Hugo, Bordeaux",POMPIER,HAUTE
"Signalement de trafic de stupéfiants dans un hall - secteur centre, Lyon",POLICE,BASSE
"Accident de la route avec personne incarcérée - avenue de la République, Paris",POMPIER,HAUTE
"Différend familial violent avec menaces - secteur centre, Marseille",POLICE,MOYENNE
"Inondation de sous-sol après orage violent - secteur centre, Bordeaux",POMPIER,MOYENNE
"Différend familial violent avec menaces - zone industrielle, Lille",POLICE,MOYENNE
"Cambriolage en cours signalé par un voisin - rue de la Paix, Lyon",POLICE,MOYENNE
"Signalement de trafic de stupéfiants dans un hall - boulevard Victor Hugo, Bordeaux",POLICE,BASSE
"Vol à l'arraché dans le centre ville - zone industrielle, Lyon",POLICE,MOYENNE
"Personne errante et confuse sur l'autoroute - avenue de la République, Lille",POLICE,BASSE
"Agression à main armée signalée sur la voie publique - rue de la Paix, Lille",POLICE,HAUTE
"Vol à l'arraché dans le centre ville - zone industrielle, Bordeaux",POLICE,MOYENNE
"Fuite de gaz suspecte dans une cave - boulevard Victor Hugo, Lyon",POMPIER,HAUTE
"Vol à l'arraché dans le centre ville - rue de la Paix, Paris",POLICE,MOYENNE
"Alerte monoxyde de carbone dans une école - rue de la Paix, Lille",POMPIER,HAUTE
"Accident de la route avec personne incarcérée - rue de la Paix, Lille",POMPIER,HAUTE
"Ascenseur bloqué avec plusieurs personnes - rue de la Paix, Paris",POMPIER,MOYENNE
"Tapage nocturne persistant et cris - zone industrielle, Paris",POLICE,BASSE
"Personne errante et confuse sur l'autoroute - rue de la Paix, Bordeaux",POLICE,BASSE
"Ascenseur bloqué avec plusieurs personnes - avenue de la République, Lyon",POMPIER,MOYENNE
"Cambriolage en cours signalé par un voisin - avenue de la République, Paris",POLICE,MOYENNE
"Inondation de sous-sol après orage violent - boulevard Victor Hugo, Paris",POMPIER,MOYENNE
"Véhicule suspect stationné devant une banque - boulevard Victor Hugo, Marseille",POLICE,BASSE
"Accident de la route avec personne incarcérée - rue de la Paix, Lille",POMPIER,HAUTE
"Cambriolage en cours signalé par un voisin - avenue de la République, Lille",POLICE,MOYENNE
"Véhicule suspect stationné devant une banque - boulevard Victor Hugo, Lyon",POLICE,BASSE
"Feu de structure dans un immeuble d'habitation - avenue de la République, Lyon",POMPIER,HAUTE
"Ascenseur bloqué avec plusieurs personnes - avenue de la République, Lille",POMPIER,MOYENNE
"Agression à main armée signalée sur la voie publique - avenue de la République, Lille",POLICE,HAUTE
