ticket_fr,domaine_cible
Combien d’heures après avoir bu un antibiotique puis-je boire de l’alcool ?,MÉDICAL
Combien d’heures après avoir bu un antibiotique puis-je boire de l’alcool ?,MÉDICAL
"Suis-je en surpoids (192,9) pour mon âge (39) ?",MÉDICAL
"Suis-je en surpoids (192,9) pour mon âge (39) ?",MÉDICAL
Allergie à l'aspirine : vaut-il la peine de se procurer un bracelet ?,MÉDICAL
Allergie à l'aspirine : vaut-il la peine de se procurer un bracelet ?,MÉDICAL
"Lors d'une visite chez le médecin, je me suis cogné la tête contre une boîte accrochée au mur contenant des matières dangereuses (seringues usagées, aiguilles usagées...). Vais-je être infecté ?",MÉDICAL
"Lors d'une visite chez le médecin, je me suis cogné la tête contre une boîte accrochée au mur contenant des matières dangereuses (seringues usagées, aiguilles usagées...). Vais-je être infecté ?",MÉDICAL
"J'ai pris des antibiotiques pendant 4 à 5 semaines. Le dentiste à dents hautes n'a pas reçu d'aiguille 2 gelé 2 extrait dans la gencive vraiment blessé, elle a dit que c'était les tissus qui étaient 2 go bk ? S'il vous plaît",MÉDICAL
"J'ai pris des antibiotiques pendant 4 à 5 semaines. Le dentiste à dents hautes n'a pas reçu d'aiguille 2 gelé 2 extrait dans la gencive vraiment blessé, elle a dit que c'était les tissus qui étaient 2 go bk ? S'il vous plaît",MÉDICAL
L'Adderall (dextroamphétamine et amphétamine racémique) peut-il provoquer une pression dans les oreilles et de légers maux de tête en fin de journée ?,MÉDICAL
L'Adderall (dextroamphétamine et amphétamine racémique) peut-il provoquer une pression dans les oreilles et de légers maux de tête en fin de journée ?,MÉDICAL
La coarctation de l'aorte peut-elle entraîner une mauvaise croissance en hauteur ?,MÉDICAL
La coarctation de l'aorte peut-elle entraîner une mauvaise croissance en hauteur ?,MÉDICAL
La doxycycline peut-elle traiter une otite ?,MÉDICAL
La doxycycline peut-elle traiter une otite ?,MÉDICAL
"Le vinaigre peut-il aider à drainer les sinus ? J'ai mangé de la vinaigrette balsamique avec mes salades et je les sens drainées, est-ce normal ??",MÉDICAL
"Le vinaigre peut-il aider à drainer les sinus ? J'ai mangé de la vinaigrette balsamique avec mes salades et je les sens drainées, est-ce normal ??",MÉDICAL
Une malformation de Chiari pourrait-elle provoquer des problèmes hypophysaires ou un diabète insipide ?,MÉDICAL
Une malformation de Chiari pourrait-elle provoquer des problèmes hypophysaires ou un diabète insipide ?,MÉDICAL
L'homéopathie contre l'acné pourrait-elle aider ?,MÉDICAL
L'homéopathie contre l'acné pourrait-elle aider ?,MÉDICAL
Ce médicament pourrait-il provoquer de l'anxiété chez un enfant de 12 ans ?,MÉDICAL
Ce médicament pourrait-il provoquer de l'anxiété chez un enfant de 12 ans ?,MÉDICAL
Pourriez-vous me dire pourquoi mon mari transpire et vomit après s'être injecté 30 unités d'insuline lantis ? Que dois-je faire?,MÉDICAL
Pourriez-vous me dire pourquoi mon mari transpire et vomit après s'être injecté 30 unités d'insuline lantis ? Que dois-je faire?,MÉDICAL
L’âge augmente-t-il la gravité des symptômes/problèmes de dysfonction érectile ?,MÉDICAL
L’âge augmente-t-il la gravité des symptômes/problèmes de dysfonction érectile ?,MÉDICAL
Le dermonu fonctionne-t-il pour les cicatrices d'acné ?,MÉDICAL
Le dermonu fonctionne-t-il pour les cicatrices d'acné ?,MÉDICAL
Extension de ma dernière question. Il y a aussi des pertes vaginales donc j'ovule. Cela pourrait-il provoquer des démangeaisons ?,MÉDICAL
Extension de ma dernière question. Il y a aussi des pertes vaginales donc j'ovule. Cela pourrait-il provoquer des démangeaisons ?,MÉDICAL
"Sentiment de déjà-vu fréquent. J'ai eu peut-être 3 crises de panique au cours des deux derniers mois, ce qui m'a laissé un peu anxieux et je me demandais si c'était ça ?",MÉDICAL
"Sentiment de déjà-vu fréquent. J'ai eu peut-être 3 crises de panique au cours des deux derniers mois, ce qui m'a laissé un peu anxieux et je me demandais si c'était ça ?",MÉDICAL
"J'ai des problèmes de cou/dos depuis des mois et des crampes musculaires aux mollets. Stressé. Avoir (anxiété) BP est plutôt sain. Hier, j'ai ressenti des picotements dans les deux mains et des tremblements. Dans 20 secondes. Maintenant, c'est éteint et rallumé. Des idées ?",MÉDICAL
"J'ai des problèmes de cou/dos depuis des mois et des crampes musculaires aux mollets. Stressé. Avoir (anxiété) BP est plutôt sain. Hier, j'ai ressenti des picotements dans les deux mains et des tremblements. Dans 20 secondes. Maintenant, c'est éteint et rallumé. Des idées ?",MÉDICAL
"Bonjour, j'ai fait une échographie des testicules et de la zone inguinale. Aucune trace de hernie ou d'adénopathie. Les résultats sont revenus tout à fait normaux. Mon médecin l'a regardé et l'a senti deux fois. Il a dit que ce n'était certainement pas une hernie et qu'elle était juste un peu grosse.",MÉDICAL
"Bonjour, j'ai fait une échographie des testicules et de la zone inguinale. Aucune trace de hernie ou d'adénopathie. Les résultats sont revenus tout à fait normaux. Mon médecin l'a regardé et l'a senti deux fois. Il a dit que ce n'était certainement pas une hernie et qu'elle était juste un peu grosse.",MÉDICAL
Comment le niveau de bonheur d’une personne peut-il affecter sa santé ?,MÉDICAL
Comment le niveau de bonheur d’une personne peut-il affecter sa santé ?,MÉDICAL
Dans quelle mesure est-il courant d’éprouver des symptômes d’anxiété physique sans ressentir d’anxiété ?,MÉDICAL
Dans quelle mesure est-il courant d’éprouver des symptômes d’anxiété physique sans ressentir d’anxiété ?,MÉDICAL
En quoi l’add et le TDAH diffèrent-ils ?,MÉDICAL
En quoi l’add et le TDAH diffèrent-ils ?,MÉDICAL
Comment savoir si je souffre de dépression et d’anxiété ?,MÉDICAL
Comment savoir si je souffre de dépression et d’anxiété ?,MÉDICAL
Combien de temps faut-il pour que l'herpès éclate ?,MÉDICAL
Combien de temps faut-il pour que l'herpès éclate ?,MÉDICAL
Combien de tylénol (acétaminophène) 3 sont égaux à un percocet ?,MÉDICAL
Combien de tylénol (acétaminophène) 3 sont égaux à un percocet ?,MÉDICAL
Combien de temps d'arrêt de travail dois-je prendre après une reconstruction du LCA ?,MÉDICAL
Combien de temps d'arrêt de travail dois-je prendre après une reconstruction du LCA ?,MÉDICAL
Comment le méthotrexate devrait-il affecter les cellules du corps en ce qui concerne le traitement de l’arthrite ?,MÉDICAL
Comment le méthotrexate devrait-il affecter les cellules du corps en ce qui concerne le traitement de l’arthrite ?,MÉDICAL
Comment gérer quelqu’un qui se comporte de manière enfantine ?,MÉDICAL
Comment gérer quelqu’un qui se comporte de manière enfantine ?,MÉDICAL
Comment savoir à quoi j’ai une réaction allergique ?,MÉDICAL
Comment savoir à quoi j’ai une réaction allergique ?,MÉDICAL
"Je prends actuellement de la minocine (minocycline) pour traiter mon acné, mais je pense que j'ai de l'urticaire qui démange ?",MÉDICAL
"Je prends actuellement de la minocine (minocycline) pour traiter mon acné, mais je pense que j'ai de l'urticaire qui démange ?",MÉDICAL
"Si j'ai eu l'hépatite A, cela signifie-t-il que je ne peux pas boire d'alcool pendant un certain nombre de semaines après ?",MÉDICAL
"Si j'ai eu l'hépatite A, cela signifie-t-il que je ne peux pas boire d'alcool pendant un certain nombre de semaines après ?",MÉDICAL
J'ai une ou deux éruptions d'acné chaque mois. Comment puis-je les prévenir ? L'acné laisse également des cicatrices sur ma peau. Y a-t-il un produit disponible dans le commerce que je pourrais essayer,MÉDICAL
J'ai une ou deux éruptions d'acné chaque mois. Comment puis-je les prévenir ? L'acné laisse également des cicatrices sur ma peau. Y a-t-il un produit disponible dans le commerce que je pourrais essayer,MÉDICAL
"J'ai eu mes règles deux fois en 3 semaines, pour la deuxième fois en 4 mois. Pourquoi? Je n'ai pas été stressé ni modifié mon programme d'exercice ou mon régime alimentaire récemment.",MÉDICAL
"J'ai eu mes règles deux fois en 3 semaines, pour la deuxième fois en 4 mois. Pourquoi? Je n'ai pas été stressé ni modifié mon programme d'exercice ou mon régime alimentaire récemment.",MÉDICAL
"J'ai subi une arthroscopie du genou gauche il y a presque un mois mais il semble se remplir de liquide synovial, dois-je retourner au travail ou attendre de voir le docteur ?",MÉDICAL
"J'ai subi une arthroscopie du genou gauche il y a presque un mois mais il semble se remplir de liquide synovial, dois-je retourner au travail ou attendre de voir le docteur ?",MÉDICAL
J'ai un pityriasis versicolor dans les testicules et au bout du pénis. Cela démange et devient sec. Le médecin m'a envoyé un lavage à l'acide salycilique. Cela a du sens ?,MÉDICAL
J'ai un pityriasis versicolor dans les testicules et au bout du pénis. Cela démange et devient sec. Le médecin m'a envoyé un lavage à l'acide salycilique. Cela a du sens ?,MÉDICAL
"J'ai 16 ans et mon testicule gauche a commencé à avoir une douleur assez intense, ça fait plus qu'extrêmement mal quand je marche et ça touche mon pantalon, je ne peux pas conduire, aidez-moi ?",MÉDICAL
"J'ai 16 ans et mon testicule gauche a commencé à avoir une douleur assez intense, ça fait plus qu'extrêmement mal quand je marche et ça touche mon pantalon, je ne peux pas conduire, aidez-moi ?",MÉDICAL
"Je prends des médicaments contre l'anxiété et la dépression principalement pour éviter les crises de panique et éviter les crises. Puis-je en prendre plus de 0,5 si je ressens une panique et que 0,5 mg ne fonctionne pas ?",MÉDICAL
"Je prends des médicaments contre l'anxiété et la dépression principalement pour éviter les crises de panique et éviter les crises. Puis-je en prendre plus de 0,5 si je ressens une panique et que 0,5 mg ne fonctionne pas ?",MÉDICAL
"Est-ce que 4 mg d'intuniv et 2 mgrisperdal sont trop pour un enfant de 5 ans et demi, je suis inquiet. Son neurologue lui a prescrit du pddnos et du TDAH ?",MÉDICAL
"Est-ce que 4 mg d'intuniv et 2 mgrisperdal sont trop pour un enfant de 5 ans et demi, je suis inquiet. Son neurologue lui a prescrit du pddnos et du TDAH ?",MÉDICAL
Le jus d'aloe vera est-il bon pour l'hypertension ?,MÉDICAL
Le jus d'aloe vera est-il bon pour l'hypertension ?,MÉDICAL
Les bactéries fécales sont-elles vraiment malsaines par rapport aux autres bactéries lorsque vous êtes enceinte ?,MÉDICAL
Les bactéries fécales sont-elles vraiment malsaines par rapport aux autres bactéries lorsque vous êtes enceinte ?,MÉDICAL
L'hypnothérapie est-elle dangereuse ?,MÉDICAL
L'hypnothérapie est-elle dangereuse ?,MÉDICAL
Est-il normal d'avoir des nausées et une perte d'appétit pendant vos règles ?,MÉDICAL
Est-il normal d'avoir des nausées et une perte d'appétit pendant vos règles ?,MÉDICAL
Mon enfant a un faible taux de phosphatase alcaline dans ses résultats de laboratoire. Pourquoi?,MÉDICAL
Mon enfant a un faible taux de phosphatase alcaline dans ses résultats de laboratoire. Pourquoi?,MÉDICAL
