Numéro_du_Ticket,ID_Client,Texte_du_ticket,Catégorie,Urgence_Déclarée,Importance_Client,SLA_Priorité,Equipe_Cible
TICK-1001,CLI-130,J'ai oublié mon mot de passe de session.,Accès,2,1,2,Security-Ops
TICK-1002,CLI-131,Mon badge d'entrée ne fonctionne plus.,RH,4,5,4,Support-Admin
TICK-1003,CLI-101,Demande d'information sur la mutuelle d'entreprise.,RH,1,3,3,Support-Admin
TICK-1004,CLI-125,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,2,1,3,Dev-Core
TICK-1005,CLI-138,Compte bloqué après 3 tentatives infructueuses.,Accès,2,1,3,Security-Ops
TICK-1006,CLI-150,Déclaration de télétravail non validée par le système.,RH,5,2,2,Support-Admin
TICK-1007,CLI-102,J'ai oublié mon mot de passe de session.,Accès,5,1,2,Security-Ops
TICK-1008,CLI-103,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,3,5,6,Infra-Net
TICK-1009,CLI-125,J'ai oublié mon mot de passe de session.,Accès,1,2,2,Security-Ops
TICK-1010,CLI-141,J'ai oublié mon mot de passe de session.,Accès,4,1,2,Security-Ops
TICK-1011,CLI-148,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,2,4,6,Infra-Net
TICK-1012,CLI-133,Erreur de base de données lors de la sauvegarde.,Logiciel,3,4,3,Dev-Core
TICK-1013,CLI-103,Comment poser mes congés sur le nouveau portail ?,RH,1,2,2,Support-Admin
TICK-1014,CLI-106,Le switch principal semble avoir grillé.,Réseau,1,5,5,Infra-Net
TICK-1015,CLI-119,L'imprimante du service marketing fait un bruit anormal.,Matériel,4,2,2,IT-Hardware
TICK-1016,CLI-108,Coupure totale d'internet dans tout le bâtiment.,Réseau,2,2,8,Infra-Net
TICK-1017,CLI-106,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,3,2,4,Infra-Net
TICK-1018,CLI-103,Compte bloqué après 3 tentatives infructueuses.,Accès,2,4,6,Security-Ops
TICK-1019,CLI-114,Le wifi ne fonctionne plus au 3ème étage.,Réseau,1,1,3,Infra-Net
TICK-1020,CLI-149,Mon écran reste noir malgré le branchement.,Matériel,3,3,4,IT-Hardware
TICK-1021,CLI-150,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,3,1,2,IT-Hardware
TICK-1022,CLI-108,Comment poser mes congés sur le nouveau portail ?,RH,1,5,4,Support-Admin
TICK-1023,CLI-112,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,3,2,3,IT-Hardware
TICK-1024,CLI-118,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,3,1,4,Dev-Core
TICK-1025,CLI-143,L'imprimante du service marketing fait un bruit anormal.,Matériel,2,4,4,IT-Hardware
TICK-1026,CLI-144,Compte bloqué après 3 tentatives infructueuses.,Accès,4,3,5,Security-Ops
TICK-1027,CLI-138,Alerte de sécurité : tentative de connexion suspecte.,Accès,2,1,9,Security-Ops
TICK-1028,CLI-104,Comment poser mes congés sur le nouveau portail ?,RH,1,3,4,Support-Admin
TICK-1029,CLI-105,Erreur de base de données lors de la sauvegarde.,Logiciel,4,1,3,Dev-Core
TICK-1030,CLI-140,Mon écran reste noir malgré le branchement.,Matériel,4,1,3,IT-Hardware
